Input file name LA,Solution cost
ga250a-1,257957
ga250a-2,257502
ga250a-3,257953
ga250a-4,257987
ga250a-5,258190
ga250b-1,276296
ga250b-2,275141
ga250b-3,276093
ga250b-4,276332
ga250b-5,276404
ga250c-1,334135
ga250c-2,330728
ga250c-3,333662
ga250c-4,332423
ga250c-5,333538
ga500a-1,511383
ga500a-2,511255
ga500a-3,510810
ga500a-4,511008
ga500a-5,511226
ga500b-1,538060
ga500b-2,537850
ga500b-3,537921
ga500b-4,537925
ga500b-5,537482
ga500c-1,621360
ga500c-2,621464
ga500c-3,621428
ga500c-4,621754
ga500c-5,621313
ga750a-1,763520
ga750a-2,763623
ga750a-3,763684
ga750a-4,763941
ga750a-5,763786
ga750b-1,796454
ga750b-2,795963
ga750b-3,796130
ga750b-4,797013
ga750b-5,796312
ga750c-1,902026
ga750c-2,899651
ga750c-3,900010
ga750c-4,900044
ga750c-5,899235
gs250a-1,257964
gs250a-2,257573
gs250a-3,257626
gs250a-4,257961
gs250a-5,257896
gs250b-1,276761
gs250b-2,275675
gs250b-3,275710
gs250b-4,276114
gs250b-5,275916
gs250c-1,332935
gs250c-2,334630
gs250c-3,333000
gs250c-4,333158
gs250c-5,334635
gs500a-1,511187
gs500a-2,511179
gs500a-3,511106
gs500a-4,511137
gs500a-5,511293
gs500b-1,537931
gs500b-2,537763
gs500b-3,537854
gs500b-4,537742
gs500b-5,538270
gs500c-1,620041
gs500c-2,620434
gs500c-3,621204
gs500c-4,620437
gs500c-5,623180
gs750a-1,763671
gs750a-2,763548
gs750a-3,763702
gs750a-4,763887
gs750a-5,763614
gs750b-1,797026
gs750b-2,796170
gs750b-3,796589
gs750b-4,796709
gs750b-5,796365
gs750c-1,900363
gs750c-2,897886
gs750c-3,901089
gs750c-4,901239
gs750c-5,900216