,,,Input file name TS,Solution cost,Time spent,,Input file name LA,Solution cost,Time spent,,
,,,ga250a-1__bf-0_a1-2.5_l-0.01-0.05,257957,12.16,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.05,257989,0.13,,
,,,ga250a-1__bf-0_a1-2.5_l-0.04-0.08,257971,10.53,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.1,257989,0.18,,
,,,ga250a-1__bf-0_a1-2.5_l-0.01-0.08,257971,19.79,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-0.5,258023,0.23,,
,,,ga250a-1__bf-1_a1-2.5_l-0.01-0.05,257971,16.00,,ga250a-1__bf-0_a1-2.5_idle-0.02_lh-1,258023,0.37,,
,,,ga250a-1__bf-1_a1-2.5_l-0.04-0.08,257984,15.92,,ga250a-1__bf-1_a1-2.5_idle-0.02_lh-10,258010,0.22,,
,,,ga250a-1__bf-1_a1-2.5_l-0.01-0.08,257971,15.25,,,,,,
,,,,,,,,,,,
,,,ga250a-2__bf-0_a1-2.5_l-0.01-0.05,257502,8.59,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.05,257596,0.01,,
,,,ga250a-2__bf-0_a1-2.5_l-0.04-0.08,257502,10.81,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.1,257596,0.02,,
,,,ga250a-2__bf-0_a1-2.5_l-0.01-0.08,257502,10.59,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-0.5,257596,0.13,,
,,,ga250a-2__bf-1_a1-2.5_l-0.01-0.05,257502,7.70,,ga250a-2__bf-0_a1-2.5_idle-0.02_lh-1,257570,0.32,,
,,,ga250a-2__bf-1_a1-2.5_l-0.04-0.08,257502,10.27,,ga250a-2__bf-1_a1-2.5_idle-0.02_lh-10,257583,0.15,,
,,,ga250a-2__bf-1_a1-2.5_l-0.01-0.08,257502,15.05,,,,,,
,,,,,,,,,,,
,,,ga250a-3__bf-0_a1-2.5_l-0.01-0.05,257953,19.80,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.05,258175,0.15,,
,,,ga250a-3__bf-0_a1-2.5_l-0.04-0.08,257977,13.39,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.1,258136,0.35,,
,,,ga250a-3__bf-0_a1-2.5_l-0.01-0.08,257986,27.10,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-0.5,258163,0.46,,
,,,ga250a-3__bf-1_a1-2.5_l-0.01-0.05,257988,21.91,,ga250a-3__bf-0_a1-2.5_idle-0.02_lh-1,258125,0.97,,
,,,ga250a-3__bf-1_a1-2.5_l-0.04-0.08,257976,15.62,,ga250a-3__bf-1_a1-2.5_idle-0.02_lh-10,258141,0.22,,
,,,ga250a-3__bf-1_a1-2.5_l-0.01-0.08,257966,14.87,,,,,,
,,,,,,,,,,,
,,,ga250a-4__bf-0_a1-2.5_l-0.01-0.05,257987,12.11,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.05,258117,0.14,,
,,,ga250a-4__bf-0_a1-2.5_l-0.04-0.08,257987,11.39,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.1,258117,0.14,,
,,,ga250a-4__bf-0_a1-2.5_l-0.01-0.08,258005,29.50,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-0.5,258123,0.31,,
,,,ga250a-4__bf-1_a1-2.5_l-0.01-0.05,257987,12.11,,ga250a-4__bf-0_a1-2.5_idle-0.02_lh-1,258074,1.08,,
,,,ga250a-4__bf-1_a1-2.5_l-0.04-0.08,257987,11.49,,ga250a-4__bf-1_a1-2.5_idle-0.02_lh-10,258108,0.20,,
,,,ga250a-4__bf-1_a1-2.5_l-0.01-0.08,257987,11.36,,,,,,
,,,,,,,,,,,
,,,ga250a-5__bf-0_a1-2.5_l-0.01-0.05,258199,10.24,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-0.05,258399,0.01,,
,,,ga250a-5__bf-0_a1-2.5_l-0.04-0.08,258204,11.25,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-0.1,258399,0.01,,
,,,ga250a-5__bf-0_a1-2.5_l-0.01-0.08,258199,16.68,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-0.5,258399,0.01,,
,,,ga250a-5__bf-1_a1-2.5_l-0.01-0.05,258201,16.21,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-1,258377,0.21,,
,,,ga250a-5__bf-1_a1-2.5_l-0.04-0.08,258204,15.06,,ga250a-5__bf-1_a1-2.5_idle-0.02_lh-10,258399,0.01,,
,,,ga250a-5__bf-1_a1-2.5_l-0.01-0.08,258204,11.90,,,,,,
,,,,,,,,,,,
,,,ga250b-1__bf-0_a1-2.5_l-0.01-0.05,276296,11.80,,ga250b-1__bf-0_a1-2.5_idle-0.02_lh-0.05,277216,0.05,,
,,,ga250b-1__bf-0_a1-2.5_l-0.04-0.08,276339,11.76,,ga250b-1__bf-0_a1-2.5_idle-0.02_lh-0.1,277216,0.05,,
,,,ga250b-1__bf-0_a1-2.5_l-0.01-0.08,276296,21.51,,ga250b-1__bf-0_a1-2.5_idle-0.02_lh-0.5,277216,0.05,,
,,,ga250b-1__bf-1_a1-2.5_l-0.01-0.05,276296,13.66,,ga250b-1__bf-0_a1-2.5_idle-0.02_lh-1,277216,0.05,,
,,,ga250b-1__bf-1_a1-2.5_l-0.04-0.08,276296,15.70,,ga250b-1__bf-1_a1-2.5_idle-0.02_lh-10,276453,0.26,,
,,,ga250b-1__bf-1_a1-2.5_l-0.01-0.08,276296,15.57,,,,,,
,,,,,,,,,,,
,,,ga250b-2__bf-0_a1-2.5_l-0.01-0.05,275141,12.08,,ga250b-2__bf-0_a1-2.5_idle-0.02_lh-0.05,275216,0.05,,
,,,ga250b-2__bf-0_a1-2.5_l-0.04-0.08,275150,12.75,,ga250b-2__bf-0_a1-2.5_idle-0.02_lh-0.1,275216,0.06,,
,,,ga250b-2__bf-0_a1-2.5_l-0.01-0.08,275141,15.86,,ga250b-2__bf-0_a1-2.5_idle-0.02_lh-0.5,275216,0.10,,
,,,ga250b-2__bf-1_a1-2.5_l-0.01-0.05,275141,10.95,,ga250b-2__bf-0_a1-2.5_idle-0.02_lh-1,275216,0.10,,
,,,ga250b-2__bf-1_a1-2.5_l-0.04-0.08,275141,18.92,,ga250b-2__bf-1_a1-2.5_idle-0.02_lh-10,275216,0.16,,
,,,ga250b-2__bf-1_a1-2.5_l-0.01-0.08,275141,17.52,,,,,,
,,,,,,,,,,,
,,,ga250b-3__bf-0_a1-2.5_l-0.01-0.05,276093,12.41,,ga250b-3__bf-0_a1-2.5_idle-0.02_lh-0.05,276140,0.01,,
,,,ga250b-3__bf-0_a1-2.5_l-0.04-0.08,276093,11.40,,ga250b-3__bf-0_a1-2.5_idle-0.02_lh-0.1,276140,0.01,,
,,,ga250b-3__bf-0_a1-2.5_l-0.01-0.08,276093,12.10,,ga250b-3__bf-0_a1-2.5_idle-0.02_lh-0.5,276140,0.07,,
,,,ga250b-3__bf-1_a1-2.5_l-0.01-0.05,276093,11.71,,ga250b-3__bf-0_a1-2.5_idle-0.02_lh-1,276140,0.07,,
,,,ga250b-3__bf-1_a1-2.5_l-0.04-0.08,276093,11.65,,ga250b-3__bf-1_a1-2.5_idle-0.02_lh-10,276093,0.13,,
,,,ga250b-3__bf-1_a1-2.5_l-0.01-0.08,276093,11.79,,,,,,
,,,,,,,,,,,
,,,ga250b-4__bf-0_a1-2.5_l-0.01-0.05,276332,14.64,,ga250b-4__bf-0_a1-2.5_idle-0.02_lh-0.05,277574,0.01,,
,,,ga250b-4__bf-0_a1-2.5_l-0.04-0.08,276347,11.39,,ga250b-4__bf-0_a1-2.5_idle-0.02_lh-0.1,277574,0.01,,
,,,ga250b-4__bf-0_a1-2.5_l-0.01-0.08,276347,11.71,,ga250b-4__bf-0_a1-2.5_idle-0.02_lh-0.5,277180,0.23,,
,,,ga250b-4__bf-1_a1-2.5_l-0.01-0.05,276332,23.67,,ga250b-4__bf-0_a1-2.5_idle-0.02_lh-1,276921,0.56,,
,,,ga250b-4__bf-1_a1-2.5_l-0.04-0.08,276347,12.68,,ga250b-4__bf-1_a1-2.5_idle-0.02_lh-10,276413,0.29,,
,,,ga250b-4__bf-1_a1-2.5_l-0.01-0.08,276347,13.18,,,,,,
,,,,,,,,,,,
,,,ga250b-5__bf-0_a1-2.5_l-0.01-0.05,276404,9.80,,ga250b-5__bf-0_a1-2.5_idle-0.02_lh-0.05,277508,0.01,,
,,,ga250b-5__bf-0_a1-2.5_l-0.04-0.08,276715,13.96,,ga250b-5__bf-0_a1-2.5_idle-0.02_lh-0.1,277508,0.01,,
,,,ga250b-5__bf-0_a1-2.5_l-0.01-0.08,276404,10.31,,ga250b-5__bf-0_a1-2.5_idle-0.02_lh-0.5,277508,0.01,,
,,,ga250b-5__bf-1_a1-2.5_l-0.01-0.05,276404,9.66,,ga250b-5__bf-0_a1-2.5_idle-0.02_lh-1,276689,0.41,,
,,,ga250b-5__bf-1_a1-2.5_l-0.04-0.08,276404,14.96,,ga250b-5__bf-1_a1-2.5_idle-0.02_lh-10,276896,0.11,,
,,,ga250b-5__bf-1_a1-2.5_l-0.01-0.08,276404,12.01,,,,,,
,,,,,,,,,,,
,,,ga250c-1__bf-0_a1-2.5_l-0.01-0.05,334541,18.33,,ga250c-1__bf-0_a1-2.5_idle-0.02_lh-0.05,335223,0.00,,
,,,ga250c-1__bf-0_a1-2.5_l-0.04-0.08,334694,12.60,,ga250c-1__bf-0_a1-2.5_idle-0.02_lh-0.1,335223,0.00,,
,,,ga250c-1__bf-0_a1-2.5_l-0.01-0.08,334658,24.11,,ga250c-1__bf-0_a1-2.5_idle-0.02_lh-0.5,335223,0.00,,
,,,ga250c-1__bf-1_a1-2.5_l-0.01-0.05,334135,13.95,,ga250c-1__bf-0_a1-2.5_idle-0.02_lh-1,335223,0.00,,
,,,ga250c-1__bf-1_a1-2.5_l-0.04-0.08,334135,19.05,,ga250c-1__bf-1_a1-2.5_idle-0.02_lh-10,335223,0.00,,
,,,ga250c-1__bf-1_a1-2.5_l-0.01-0.08,334135,22.26,,,,,,
,,,,,,,,,,,
,,,ga250c-2__bf-0_a1-2.5_l-0.01-0.05,330728,16.77,,ga250c-2__bf-0_a1-2.5_idle-0.02_lh-0.05,331344,0.00,,
,,,ga250c-2__bf-0_a1-2.5_l-0.04-0.08,331344,12.19,,ga250c-2__bf-0_a1-2.5_idle-0.02_lh-0.1,331344,0.00,,
,,,ga250c-2__bf-0_a1-2.5_l-0.01-0.08,330728,38.64,,ga250c-2__bf-0_a1-2.5_idle-0.02_lh-0.5,331344,0.00,,
,,,ga250c-2__bf-1_a1-2.5_l-0.01-0.05,330728,13.73,,ga250c-2__bf-0_a1-2.5_idle-0.02_lh-1,331344,0.00,,
,,,ga250c-2__bf-1_a1-2.5_l-0.04-0.08,330728,11.64,,ga250c-2__bf-1_a1-2.5_idle-0.02_lh-10,331344,0.00,,
,,,ga250c-2__bf-1_a1-2.5_l-0.01-0.08,330728,12.87,,,,,,
,,,,,,,,,,,
,,,ga250c-3__bf-0_a1-2.5_l-0.01-0.05,333662,17.72,,ga250c-3__bf-0_a1-2.5_idle-0.02_lh-0.05,333662,0.00,,
,,,ga250c-3__bf-0_a1-2.5_l-0.04-0.08,333662,13.16,,ga250c-3__bf-0_a1-2.5_idle-0.02_lh-0.1,333662,0.00,,
,,,ga250c-3__bf-0_a1-2.5_l-0.01-0.08,333662,15.26,,ga250c-3__bf-0_a1-2.5_idle-0.02_lh-0.5,333662,0.00,,
,,,ga250c-3__bf-1_a1-2.5_l-0.01-0.05,333662,15.76,,ga250c-3__bf-0_a1-2.5_idle-0.02_lh-1,333662,0.00,,
,,,ga250c-3__bf-1_a1-2.5_l-0.04-0.08,333662,13.37,,ga250c-3__bf-1_a1-2.5_idle-0.02_lh-10,333662,0.00,,
,,,ga250c-3__bf-1_a1-2.5_l-0.01-0.08,333662,14.50,,,,,,
,,,,,,,,,,,
,,,ga250c-4__bf-0_a1-2.5_l-0.01-0.05,332423,30.97,,ga250c-4__bf-0_a1-2.5_idle-0.02_lh-0.05,332541,0.00,,
,,,ga250c-4__bf-0_a1-2.5_l-0.04-0.08,332423,21.73,,ga250c-4__bf-0_a1-2.5_idle-0.02_lh-0.1,332541,0.00,,
,,,ga250c-4__bf-0_a1-2.5_l-0.01-0.08,332423,17.26,,ga250c-4__bf-0_a1-2.5_idle-0.02_lh-0.5,332541,0.00,,
,,,ga250c-4__bf-1_a1-2.5_l-0.01-0.05,332423,13.72,,ga250c-4__bf-0_a1-2.5_idle-0.02_lh-1,332541,0.00,,
,,,ga250c-4__bf-1_a1-2.5_l-0.04-0.08,332423,11.46,,ga250c-4__bf-1_a1-2.5_idle-0.02_lh-10,332541,0.00,,
,,,ga250c-4__bf-1_a1-2.5_l-0.01-0.08,332423,11.99,,,,,,
,,,,,,,,,,,
,,,ga250c-5__bf-0_a1-2.5_l-0.01-0.05,333538,20.98,,ga250c-5__bf-0_a1-2.5_idle-0.02_lh-0.05,335511,0.00,,
,,,ga250c-5__bf-0_a1-2.5_l-0.04-0.08,333538,12.01,,ga250c-5__bf-0_a1-2.5_idle-0.02_lh-0.1,335511,0.00,,
,,,ga250c-5__bf-0_a1-2.5_l-0.01-0.08,333538,13.85,,ga250c-5__bf-0_a1-2.5_idle-0.02_lh-0.5,335511,0.00,,
,,,ga250c-5__bf-1_a1-2.5_l-0.01-0.05,333538,9.92,,ga250c-5__bf-0_a1-2.5_idle-0.02_lh-1,335511,0.00,,
,,,ga250c-5__bf-1_a1-2.5_l-0.04-0.08,333538,21.18,,ga250c-5__bf-1_a1-2.5_idle-0.02_lh-10,335511,0.00,,
,,,ga250c-5__bf-1_a1-2.5_l-0.01-0.08,333538,10.19,,,,,,
,,,,,,,,,,,
,,,ga500a-1__bf-0_a1-2.5_l-0.01-0.05,511414,180.70,,ga500a-1__bf-0_a1-2.5_idle-0.02_lh-0.05,511523,1.38,,
,,,ga500a-1__bf-0_a1-2.5_l-0.04-0.08,511450,170.94,,ga500a-1__bf-0_a1-2.5_idle-0.02_lh-0.1,511414,3.38,,
,,,ga500a-1__bf-0_a1-2.5_l-0.01-0.08,511432,179.21,,ga500a-1__bf-0_a1-2.5_idle-0.02_lh-0.5,511532,7.25,,
,,,ga500a-1__bf-1_a1-2.5_l-0.01-0.05,511413,175.38,,ga500a-1__bf-0_a1-2.5_idle-0.02_lh-1,511491,14.88,,
,,,ga500a-1__bf-1_a1-2.5_l-0.04-0.08,511440,230.14,,ga500a-1__bf-1_a1-2.5_idle-0.02_lh-10,511518,1.72,,
,,,ga500a-1__bf-1_a1-2.5_l-0.01-0.08,511390,321.96,,,,,,
,,,,,,,,,,,
,,,ga500a-2__bf-0_a1-2.5_l-0.01-0.05,511279,501.80,,ga500a-2__bf-0_a1-2.5_idle-0.02_lh-0.05,511485,1.34,,
,,,ga500a-2__bf-0_a1-2.5_l-0.04-0.08,511299,348.29,,ga500a-2__bf-0_a1-2.5_idle-0.02_lh-0.1,511505,2.49,,
,,,ga500a-2__bf-0_a1-2.5_l-0.01-0.08,511294,305.14,,ga500a-2__bf-0_a1-2.5_idle-0.02_lh-0.5,511463,11.23,,
,,,ga500a-2__bf-1_a1-2.5_l-0.01-0.05,511266,619.64,,ga500a-2__bf-0_a1-2.5_idle-0.02_lh-1,511491,6.68,,
,,,ga500a-2__bf-1_a1-2.5_l-0.04-0.08,511324,211.11,,ga500a-2__bf-1_a1-2.5_idle-0.02_lh-10,511485,2.89,,
,,,ga500a-2__bf-1_a1-2.5_l-0.01-0.08,511278,318.44,,,,,,
,,,,,,,,,,,
,,,ga500a-3__bf-0_a1-2.5_l-0.01-0.05,510810,241.25,,ga500a-3__bf-0_a1-2.5_idle-0.02_lh-0.05,511199,0.12,,
,,,ga500a-3__bf-0_a1-2.5_l-0.04-0.08,510878,229.09,,ga500a-3__bf-0_a1-2.5_idle-0.02_lh-0.1,511004,6.65,,
,,,ga500a-3__bf-0_a1-2.5_l-0.01-0.08,510813,314.12,,ga500a-3__bf-0_a1-2.5_idle-0.02_lh-0.5,511040,18.87,,
,,,ga500a-3__bf-1_a1-2.5_l-0.01-0.05,510813,358.19,,ga500a-3__bf-0_a1-2.5_idle-0.02_lh-1,511115,15.91,,
,,,ga500a-3__bf-1_a1-2.5_l-0.04-0.08,510826,215.25,,ga500a-3__bf-1_a1-2.5_idle-0.02_lh-10,511000,4.88,,
,,,ga500a-3__bf-1_a1-2.5_l-0.01-0.08,510855,355.30,,,,,,
,,,,,,,,,,,
,,,ga500a-4__bf-0_a1-2.5_l-0.01-0.05,511050,335.89,,ga500a-4__bf-0_a1-2.5_idle-0.02_lh-0.05,511158,0.04,,
,,,ga500a-4__bf-0_a1-2.5_l-0.04-0.08,511079,287.72,,ga500a-4__bf-0_a1-2.5_idle-0.02_lh-0.1,511158,0.19,,
,,,ga500a-4__bf-0_a1-2.5_l-0.01-0.08,511074,267.19,,ga500a-4__bf-0_a1-2.5_idle-0.02_lh-0.5,511055,6.28,,
,,,ga500a-4__bf-1_a1-2.5_l-0.01-0.05,511051,273.33,,ga500a-4__bf-0_a1-2.5_idle-0.02_lh-1,511114,5.26,,
,,,ga500a-4__bf-1_a1-2.5_l-0.04-0.08,511054,197.13,,ga500a-4__bf-1_a1-2.5_idle-0.02_lh-10,511117,2.51,,
,,,ga500a-4__bf-1_a1-2.5_l-0.01-0.08,511059,180.24,,,,,,
,,,,,,,,,,,
,,,ga500a-5__bf-0_a1-2.5_l-0.01-0.05,511256,206.64,,ga500a-5__bf-0_a1-2.5_idle-0.02_lh-0.05,511378,3.20,,
,,,ga500a-5__bf-0_a1-2.5_l-0.04-0.08,511256,176.30,,ga500a-5__bf-0_a1-2.5_idle-0.02_lh-0.1,511344,3.48,,
,,,ga500a-5__bf-0_a1-2.5_l-0.01-0.08,511229,272.96,,ga500a-5__bf-0_a1-2.5_idle-0.02_lh-0.5,511357,8.61,,
,,,ga500a-5__bf-1_a1-2.5_l-0.01-0.05,511256,173.75,,ga500a-5__bf-0_a1-2.5_idle-0.02_lh-1,511462,5.22,,
,,,ga500a-5__bf-1_a1-2.5_l-0.04-0.08,511256,174.34,,ga500a-5__bf-1_a1-2.5_idle-0.02_lh-10,511256,3.23,,
,,,ga500a-5__bf-1_a1-2.5_l-0.01-0.08,511256,169.15,,,,,,
,,,,,,,,,,,
,,,ga500b-1__bf-0_a1-2.5_l-0.01-0.05,538060,207.41,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-0.05,538067,0.68,,
,,,ga500b-1__bf-0_a1-2.5_l-0.04-0.08,538060,178.44,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-0.1,538067,0.68,,
,,,ga500b-1__bf-0_a1-2.5_l-0.01-0.08,538060,180.40,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-0.5,538067,1.18,,
,,,ga500b-1__bf-1_a1-2.5_l-0.01-0.05,538060,174.88,,ga500b-1__bf-0_a1-2.5_idle-0.02_lh-1,538069,0.73,,
,,,ga500b-1__bf-1_a1-2.5_l-0.04-0.08,538060,168.92,,ga500b-1__bf-1_a1-2.5_idle-0.02_lh-10,538060,1.11,,
,,,ga500b-1__bf-1_a1-2.5_l-0.01-0.08,538060,178.13,,,,,,
,,,,,,,,,,,
,,,ga500b-2__bf-0_a1-2.5_l-0.01-0.05,537857,231.76,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-0.05,538402,0.54,,
,,,ga500b-2__bf-0_a1-2.5_l-0.04-0.08,538222,195.36,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-0.1,538239,2.86,,
,,,ga500b-2__bf-0_a1-2.5_l-0.01-0.08,538235,211.83,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-0.5,538608,1.91,,
,,,ga500b-2__bf-1_a1-2.5_l-0.01-0.05,537921,278.30,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-1,538716,3.26,,
,,,ga500b-2__bf-1_a1-2.5_l-0.04-0.08,538177,179.32,,ga500b-2__bf-1_a1-2.5_idle-0.02_lh-10,538177,1.36,,
,,,ga500b-2__bf-1_a1-2.5_l-0.01-0.08,537910,257.67,,,,,,
,,,,,,,,,,,
,,,ga500b-3__bf-0_a1-2.5_l-0.01-0.05,538048,246.80,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-0.05,539140,0.06,,
,,,ga500b-3__bf-0_a1-2.5_l-0.04-0.08,538255,244.55,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-0.1,539140,0.05,,
,,,ga500b-3__bf-0_a1-2.5_l-0.01-0.08,537924,218.10,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-0.5,538766,2.12,,
